demographic_category	data_type	phenotype_description	historical_id	source_snomed_codes	search_strategy	entity_type_used	biomapper_curie	biomapper_name	biomapper_kg_id	confidence_score
Birth Weight	Self-reported	What was your weight at birth?\ Grams		SNOMEDCT:47340003;SNOMEDCT:364589006	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:47340003	What was your weight at birth?\ Grams	EFO:0004344	
Premature Birth	Self-reported	Was your birth premature? In other words were you born before 36 weeks of pregnancy?		SNOMEDCT:13859001;SNOMEDCT:28030000	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:13859001	Was your birth premature? In other words were you born before 36 weeks of pregnancy?		
Premature Birth	Self-reported	Do you know if your were born at:		SNOMEDCT:366343003;SNOMEDCT:412726003	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:366343003	Do you know if your were born at:	HP:0033623	
Premature Birth	Self-reported	Were you a premature baby (e.g. were you born before 35 weeks gestation)?		SNOMEDCT:367494004;SNOMEDCT:364739001	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:367494004	Were you a premature baby (e.g. were you born before 35 weeks gestation)?	HP:0001622	
Handedness	Self-reported	Handedness	P001752		phenotype_description	biolink:PhenotypicFeature	EFO:0009902	Handedness	EFO:0009902	4.856927953681712
Smoking Status (Summary)	Self-reported	Do you CURRENTLY smoke cigarettes?		SNOMEDCT:65568007;SNOMEDCT:77176002	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:65568007	Do you CURRENTLY smoke cigarettes?	UMLS:C0337667	
Smoking Status (Summary)	Self-reported	Have you ever smoked cigarettes?		SNOMEDCT:65568007;SNOMEDCT:77176002	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:65568007	Have you ever smoked cigarettes?	UMLS:C0337667	
Smoking Status (Summary)	Self-reported	Do you smoke at all nowadays?		SNOMEDCT:77176002	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:77176002	Do you smoke at all nowadays?	UMLS:C0337664	
Smoking Status (Summary)	Self-reported	Have you ever smoked?		SNOMEDCT:77176002	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:77176002	Have you ever smoked?	UMLS:C0337664	
Smoking Status (Summary)	Self-reported	Smoking Summary Status		SNOMEDCT:77176002	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:77176002	Smoking Summary Status	UMLS:C0337664	
Smoking Status (Summary)	Self-reported	Do you smoke at all nowadays?	P002394		phenotype_description	biolink:PhenotypicFeature	UMLS:C4289697	Do you smoke at all nowadays?	UMLS:C4289697	0.7657685276473962
Smoking Status (Summary)	Self-reported	Have you ever smoked?	P002389		phenotype_description	biolink:PhenotypicFeature	UMLS:C3475470	Have you ever smoked?	UMLS:C3475470	1.5355909908321679
Alcohol Intake (Summary)	Self-reported	In general, how would you describe your current alcohol intake?		SNOMEDCT:897148007;SNOMEDCT:365967005	phenotype_description	biolink:PhenotypicFeature	SNOMEDCT:897148007	In general, how would you describe your current alcohol intake?		
Alcohol Intake (Summary)	Self-reported	What is your current average alcohol consumption?	P002391		phenotype_description	biolink:PhenotypicFeature	MONDO:0002046	What is your current average alcohol consumption?	MONDO:0002046	0.7853212430824704
Alcohol Intake (Summary)	Self-reported	What is your lifetime average alcohol consumption?	P002392		phenotype_description	biolink:PhenotypicFeature	MONDO:0002046	What is your lifetime average alcohol consumption?	MONDO:0002046	0.7853212430824704
