rank	similarity	source_survey	source_question	target_survey	target_question	source_id	target_id
166	0.5803	Israeli10K	Alcohol intake frequency	UKBB	ACE touchscreen question About how often do you drink alcohol?	il10k_alcohol_current_frequency	ukbb_1558
167	0.5802	Arivale	Blood clots	Israeli10K	Clotting family number	arivale_71a455486f0f	il10k_clotting_family_number
168	0.5799	Arivale	Heart Attack	Israeli10K	Chest pain or discomfort	arivale_99039e142afb	il10k_health_pain_chest
169	0.5792	Arivale	Male infertility	Israeli10K	Unsuccessful fertility treatment	arivale_6f46342c7bc1	il10k_fertility_treatments_number
170	0.5787	Arivale	Other bladder or kidney condition	Israeli10K	Degree bothered by urinary frequency/bladder irritability in the last 3 months	arivale_0a5b6f5e6b1f	il10k_bladder_irritability_past_3_months
171	0.5751	Arivale	In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?	Israeli10K	Have you felt a burden on your environment due to physical difficulty?	arivale_32fe6e78e4c6	il10k_mlhfq_liability
172	0.5747	Israeli10K	Frequency of friend/family visits	UKBB	ACE touchscreen question How often do you visit friends or family or have them visit you?	il10k_activity_social_visit_frequency	ukbb_1031
173	0.5685	Israeli10K	Frequency of strenuous sports in last 4 weeks	UKBB	ACE touchscreen question How many times in the last 4 weeks did you do strenuous sports?	il10k_activity_strenuous_monthly	ukbb_991
174	0.5665	Arivale	What types of MODERATE activities do you typically do?	Israeli10K	Leisure/social activities	arivale_318c20f7aee1	il10k_activity_social_weekly
175	0.5651	Israeli10K	Nap during day	UKBB	ACE touchscreen question Do you have a nap during the day?	il10k_sleep_nap	ukbb_1190
176	0.5609	Israeli10K	Frequency of walking for pleasure in last 4 weeks	UKBB	ACE touchscreen question How many times in the last 4 weeks did you go walking for pleasure?	il10k_activity_walking_pleasure_monthly	ukbb_971
177	0.5596	Arivale	Overall, I feel my health is on the right track.	Israeli10K	Overall health rating	arivale_c32956512c5e	il10k_health_general_rating
178	0.5555	Israeli10K	Long-standing illness, disability or infirmity	UKBB	ACE touchscreen question Do you have any long-standing illness, disability or infirmity?	il10k_health_general_dissability_illness	ukbb_2188
179	0.5554	Arivale	ADHD or ADD	Israeli10K	Ritalin	arivale_8ce5c60efa85	il10k_ritalin
180	0.5554	Israeli10K	Duration of strenuous sports	UKBB	ACE touchscreen question Each time you did strenuous sports, about how long did you spend doing it?	il10k_activity_strenuous_duration	ukbb_1001
181	0.5551	Israeli10K	Wants to stop smoking	UKBB	ACE touchscreen question Do you want to stop smoking?	il10k_smoking_stop_wish	ukbb_3496
182	0.5526	Israeli10K	Chest pain due to walking ceases when standing still	UKBB	ACE touchscreen question Does this chest pain go away when you stand still?	il10k_health_pain_chest_dissapear_stopping	ukbb_3616
183	0.5499	Arivale	Pericardial disease	Israeli10K	Myocardial perfusion imaging	arivale_957acbee5ff5	il10k_heart_mapping_past_year
184	0.5488	Arivale	I sympathize with others' feelings.	Israeli10K	Sensitivity / hurt feelings	arivale_1a7f0cb5e701	il10k_health_mental_current_sensitive
185	0.5446	Israeli10K	Hot drink temperature	UKBB	ACE touchscreen question How do you like your hot drinks? (Such as coffee or tea)	il10k_diet_hot_drink_temperature	ukbb_1518
186	0.5404	Arivale	Thyroid nodule	Israeli10K	Total or partial thyroidectomy year	arivale_6e5fc1e6fe61	il10k_total_or_partial_thyroidectomy_year
187	0.5398	Israeli10K	Suffer from 'nerves'	UKBB	ACE touchscreen question Do you suffer from 'nerves'?	il10k_health_mental_current_nerves	ukbb_2010
188	0.5386	Arivale	Other lung condition	Israeli10K	Pulmonary function test results	arivale_3b0bdc87b247	il10k_spirometry_results
189	0.537	Arivale	To what extent do you feel that physical pain prevents you from doing what you need to do?	Israeli10K	Do you feel physical difficulty working for a living?	arivale_d454eaca3c37	il10k_mlhfq_difficulty_working
190	0.5356	Arivale	Alzheimer's disease or dementia	Israeli10K	Dementia under 60 family number	arivale_846f5bdef61d	il10k_dementia_under_60_family_number
191	0.5308	Israeli10K	Variation in diet	UKBB	ACE touchscreen question Does your diet vary much from week to week?	il10k_diet_weekly_variation	ukbb_1548
192	0.5306	Israeli10K	Major dietary changes in the last 5 years	UKBB	ACE touchscreen question Have you made any major changes to your diet in the last 5 years?	il10k_diet_water_intake_number	ukbb_1538
193	0.5303	Arivale	How tall are you?	Israeli10K	Comparative height size at age 10	arivale_fe24eff21e5e	il10k_early_life_comparative_body_height
194	0.5288	Israeli10K	Do you feel difficulty walking or climbing stairs?	UKBB	ACE touchscreen question Do you get this pain or discomfort when you walk uphill or hurry?	il10k_mlhfq_difficulty_walking	ukbb_3751
195	0.5235	Arivale	Alopecia (hair loss)	UKBB	ACE touchscreen question Which of the following best describes your hair/balding pattern?	arivale_a3c3fdfd569c	ukbb_2395
196	0.5231	Arivale	Blood Clot (lung)	UKBB	ACE touchscreen question What was your age when the blood clot in the lung was first diagnosed?	arivale_02976c4e93ce	ukbb_4022
197	0.5212	Israeli10K	Date of hospitalization	UKBB	For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where ...	il10k_hospitalization_since_recruitment_reason_2	ukbb_92
198	0.5209	Arivale	Inner ear disorder (infection, vertigo, Meniere's)	Israeli10K	Degree bothered by dizziness in the last 3 months	arivale_43453fd23738	il10k_dizziness_past_3_months
199	0.5202	Israeli10K	Ever highly irritable/argumentative for 2 days	UKBB	ACE touchscreen question Have you ever had a period of time lasting at least two days when you were so irritable that you found yourself shouting at people or starting fights or arguments?	il10k_health_mental_past_irritable_two_days	ukbb_4653
200	0.5187	Israeli10K	Difficulty not smoking for 1 day	UKBB	ACE touchscreen question How easy or difficult would you find it to go without smoking for a whole day?	il10k_smoking_current_difficulty_to_avoid_one_day	ukbb_3476
201	0.5168	Israeli10K	Frequency of tenseness / restlessness in last 2 weeks	UKBB	ACE touchscreen question Over the past two weeks, how often have you felt tense, fidgety or restless?	il10k_health_mental_past_two_week_restless_frequency	ukbb_2070
202	0.5152	Arivale	I get chores done right away.	Israeli10K	Do you have difficulty doing routine tasks at home?	arivale_166c2c0f4a5a	il10k_mlhfq_difficulty_house_work
203	0.5135	Israeli10K	General pain for 3+ months	UKBB	ACE touchscreen question Have you had pains all over the body for more than 3 months?	il10k_health_pain_past_3_months_general	ukbb_2956
204	0.5112	Arivale	White fish (e.g. cod, halibut, flounder, etc.)	UKBB	ACE touchscreen question How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)	arivale_815cf903d94f	ukbb_1339
205	0.5097	Israeli10K	Pre pregnancy genetic testing	UKBB	Participants asked by interviewer if they might be pregnant before the body impedance measures. Impedance measurement was not performed if they answered Yes or Possibly.	il10k_pre_pregnancy_genetic_testing	ukbb_3140
206	0.506	Arivale	Emphysema	UKBB	ACE touchscreen question What was your age when the emphysema/chronic bronchitis was first diagnosed?	arivale_54a9b13881a1	ukbb_3992
207	0.5048	Arivale	Post Traumatic Stress Disorder	Israeli10K	Illness, injury, bereavement, stress in last 2 years	arivale_e3015c1ef568	il10k_health_mental_past_two_years_event
208	0.5005	Arivale	Other gynecological conditions	Israeli10K	Degree bothered by pain/problems during intercourse in the last 3 months	arivale_a95c4556b3ec	il10k_intercourse_pain_past_3_months
209	0.4936	Arivale	Recurrent miscarriage (2+)	UKBB	ACE touchscreen question Have you ever had any stillbirths, spontaneous miscarriages or terminations?	arivale_a9c9d63208e4	ukbb_2774
210	0.4896	Israeli10K	Spread type	UKBB	ACE touchscreen question What type of spread do you mainly use?	il10k_diet_spread_type_used	ukbb_1428
211	0.4887	Arivale	Heart Arrhythmias (such as A-fib, SVT)	Israeli10K	Ablation of atrial fibrillation or flutter year	arivale_e4e098f84ac5	il10k_ablation_of_atrial_fibrillation_or_flutter_year
212	0.4859	Israeli10K	Born by caesarian section	UKBB	Place born - north co-ordinate	il10k_history_birth_caesarian_section	ukbb_129
213	0.4792	Arivale	French fries	Israeli10K	Type of fat used for frying	arivale_f120b6dfee05	il10k_extra_diet_frying_oil_type
214	0.4655	Arivale	Erectile dysfunction	Israeli10K	Hard to have sex	arivale_5b820041a0cb	il10k_hard_to_have_sex
215	0.465	Arivale	Allergy (Hay Fever)	UKBB	ACE touchscreen question What was your age when the hayfever, rhinitis or eczema was first diagnosed?	arivale_d1351b2c6770	ukbb_3761
216	0.4599	Israeli10K	Types of transport used (excluding work)	UKBB	ACE touchscreen question In the last 4 weeks, which forms of transport have you used most often to get about? (Not including any journeys to and from work; you can select more than one answer)	il10k_activity_transport_types	ukbb_6162
217	0.4514	Israeli10K	Risk taking	UKBB	ACE touchscreen question Would you describe yourself as someone who takes risks?	il10k_health_mental_current_risk_taker	ukbb_2040
218	0.4388	Arivale	Other neurocognitive condition	UKBB	This is an externally derived summary score of neuroticism, based on 12 neurotic behaviour domains as reported from fields 1920, 1930, 1940, 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020 and 2030 fro...	arivale_97d72368c67d	ukbb_20127
219	0.4357	Arivale	I am always committed and involved.	Israeli10K	Able to confide	arivale_5be86c01a6f6	il10k_health_mental_current_able_to_confide
220	0.4297	Arivale	Coronary artery disease	Israeli10K	Carotid artery Doppler ultrasound	arivale_7403e39de103	il10k_doppler_of_the_carotid_arteries_past_year
221	0.4291	Israeli10K	Falls in the last year	UKBB	ACE touchscreen question In the last year have you had any falls?	il10k_health_general_past_year_falling	ukbb_2296
222	0.3975	Arivale	I start conversations.	UKBB	ACE touchscreen question Do you find it difficult to follow a conversation if there is background noise (such as TV, radio, children playing)?	arivale_c116de3ba981	ukbb_2257
223	0.3838	Arivale	Fermented foods (e.g. sauerkraut, kombucha, kimchi, etc.)	Israeli10K	Keep kosher	arivale_02fb3a9cf8c6	il10k_extra_diet_kosher
224	0.3687	Arivale	I have a rich vocabulary.	UKBB	The correct word associated with pretty was dish.	arivale_543acb318135	ukbb_6525
225	0.3488	Arivale	I am interested in people.	UKBB	ACE touchscreen question Would you be willing for the study organisers to contact you in the future by email?	arivale_2a954dad3c8b	ukbb_10114
226	0.3426	Arivale	I am exacting in my work.	UKBB	True if final answer given was correct.	arivale_b92d62da0c56	ukbb_4294
