demographic_category	data_type	phenotype_description	historical_id	source_snomed_codes	resolution_method	kraken_curie	kraken_name	kraken_category	kraken_snomed_codes	candidates_with_snomed	top_snomed_candidate	confidence	matched_snomed
Birth Weight	Self-reported	What was your weight at birth? \ kilograms		SNOMEDCT:47340003;SNOMEDCT:364589006	hybrid_search	EFO:0004344	birth weight	biolink:PhenotypicFeature	SNOMEDCT:47340003;SNOMEDCT:364589006	2	rank:1|EFO:0004344|SNOMEDCT:47340003;SNOMEDCT:364589006	medium-high	
Birth Weight	Self-reported	What was your weight at birth? \ ounces		SNOMEDCT:47340003;SNOMEDCT:364589006	hybrid_search	UMLS:C0456136	Normal birth weight	biolink:PhenotypicFeature	SNOMEDCT:276712009	3	rank:1|UMLS:C0456136|SNOMEDCT:276712009	medium-high	
Birth Weight	Self-reported	What was your weight at birth? \ pounds		SNOMEDCT:47340003;SNOMEDCT:364589006	hybrid_search	EFO:0004344	birth weight	biolink:PhenotypicFeature	SNOMEDCT:47340003;SNOMEDCT:364589006	3	rank:1|EFO:0004344|SNOMEDCT:47340003;SNOMEDCT:364589006	medium-high	
Birth Weight	Self-reported	What was your weight at birth?\ Don't know		SNOMEDCT:47340003;SNOMEDCT:364589006	hybrid_search	EFO:0004344	birth weight	biolink:PhenotypicFeature	SNOMEDCT:47340003;SNOMEDCT:364589006	2	rank:1|EFO:0004344|SNOMEDCT:47340003;SNOMEDCT:364589006	medium-high	
Birth Weight	Self-reported	What was your weight at birth?\ Grams		SNOMEDCT:47340003;SNOMEDCT:364589006	hybrid_search	EFO:0004344	birth weight	biolink:PhenotypicFeature	SNOMEDCT:47340003;SNOMEDCT:364589006	4	rank:1|EFO:0004344|SNOMEDCT:47340003;SNOMEDCT:364589006	medium-high	
Premature Birth	Self-reported	Was your birth premature? In other words were you born before 36 weeks of pregnancy?		SNOMEDCT:13859001;SNOMEDCT:28030000	hybrid_search	UMLS:C4054328	Number of Premature Births	biolink:PhenotypicFeature		4	rank:2|HP:0001622|SNOMEDCT:367494004;SNOMEDCT:49550006;SNOMEDCT:282020008	medium-high	
Premature Birth	Self-reported	Do you know if your were born at:		SNOMEDCT:366343003;SNOMEDCT:412726003	hybrid_search	UMLS:C3166752	Where were you born	biolink:Publication		0		low	
Premature Birth	Self-reported	Were you a premature baby (e.g. were you born before 35 weeks gestation)?		SNOMEDCT:367494004;SNOMEDCT:364739001	hybrid_search	UMLS:C4055090	EXACT - Were You Breathless	biolink:Publication		0		low	
Handedness	Self-reported	Handedness	P001752		hybrid_search	EFO:0009902	handedness	biolink:PhenotypicFeature		1	rank:5|EFO:0003889|SNOMEDCT:57427004;SNOMEDCT:23088002	medium-high	
Smoking Status (Summary)	Self-reported	Do you CURRENTLY smoke cigarettes?		SNOMEDCT:65568007;SNOMEDCT:77176002	hybrid_search	UMLS:C4288204	Smoked a Cigarette Every Day	biolink:PhenotypicFeature		0		medium-high	
Smoking Status (Summary)	Self-reported	Have you ever smoked cigarettes?		SNOMEDCT:65568007;SNOMEDCT:77176002	hybrid_search	UMLS:C4288204	Smoked a Cigarette Every Day	biolink:PhenotypicFeature		0		medium-high	
Smoking Status (Summary)	Self-reported	Do you smoke at all nowadays?		SNOMEDCT:77176002	hybrid_search	UMLS:C4289697	Did Not Smoke at All	biolink:PhenotypicFeature		1	rank:10|UMLS:C1271057|SNOMEDCT:394885002	medium-high	
Smoking Status (Summary)	Self-reported	Have you ever smoked?		SNOMEDCT:77176002	hybrid_search	UMLS:C1883465	unknown if ever smoked	biolink:PhenotypicFeature		0		medium-high	
Smoking Status (Summary)	Self-reported	Smoking Summary Status		SNOMEDCT:77176002	hybrid_search	UMLS:C3496610	Tobacco smoking status	biolink:PhenotypicFeature		1	rank:8|MONDO:0002125|SNOMEDCT:230456007	medium-high	
Smoking Status (Summary)	Self-reported	Do you smoke at all nowadays?	P002394		hybrid_search	UMLS:C4289697	Did Not Smoke at All	biolink:PhenotypicFeature		1	rank:10|UMLS:C1271057|SNOMEDCT:394885002	medium-high	
Smoking Status (Summary)	Self-reported	Have you ever smoked?	P002389		hybrid_search	UMLS:C1883465	unknown if ever smoked	biolink:PhenotypicFeature		0		medium-high	
Alcohol Intake (Summary)	Self-reported	In general, how would you describe your current alcohol intake?		SNOMEDCT:897148007;SNOMEDCT:365967005	hybrid_search	UMLS:C3173981	How do you describe your current health	biolink:Publication		0		low	
Alcohol Intake (Summary)	Self-reported	What is your current average alcohol consumption?	P002391		hybrid_search	EFO:0007645	longitudinal alcohol consumption measurement	biolink:PhenotypicFeature		3	rank:2|MONDO:0002046|SNOMEDCT:15167005	medium-high	
Alcohol Intake (Summary)	Self-reported	What is your lifetime average alcohol consumption?	P002392		hybrid_search	UMLS:C2215684	alcohol consumption (history)	biolink:PhenotypicFeature		1	rank:9|MONDO:0002046|SNOMEDCT:15167005	medium-high	
